slot,hour,bus_0,bus_1,bus_2,bus_3,bus_4,bus_5,bus_6,bus_7,bus_8,bus_9,bus_10,bus_11,bus_12,bus_13,bus_14,bus_15,bus_16,bus_17,bus_18,bus_19,bus_20,bus_21,bus_22,bus_23,bus_24,bus_25,bus_26,bus_27,bus_28,bus_29,bus_30,bus_31,bus_32
0,6,1.0,0.9988312844294402,0.9932427584354163,0.990176288700301,0.98715088176768,0.9780594913237344,0.9757620130853165,0.9743027782836289,0.9718862813241442,0.9696373272528216,0.9693772557954332,0.9689285486720101,0.9665105752325305,0.9654433059648334,0.9649226638467209,0.9644299586663596,0.9635015835245505,0.9632644089235763,0.9985979882893468,0.9970526068768075,0.9967173289963279,0.9963997485633489,0.991816485030913,0.989037191817003,0.9876583404434107,0.9771578632465612,0.9759436871318873,0.9693109056423223,0.9644957715995883,0.9627110033362631,0.960845947939398,0.9604038697402876,0.9602385111998946
1,7,1.0,0.9989092919194398,0.9936883033372411,0.9908110241367704,0.987972793050161,0.9792785179481128,0.9770307791064439,0.9757168569360509,0.9734646030225026,0.9713677420810982,0.97113331612926,0.9707295014923013,0.9684688844734282,0.9674526457300662,0.966969991593397,0.9665145775371445,0.9656329558880876,0.9654115433041138,0.9986892365772562,0.9972350421742975,0.9969163406259764,0.9966131200121309,0.9923574645587193,0.9897502556671177,0.9884574694275059,0.9784210321020285,0.9772647754169762,0.9708375664272785,0.9661682166385581,0.9644595379139431,0.9626929278384279,0.9622711562226665,0.9621108671218145
2,8,1.0,0.9989802524268173,0.9940935106786879,0.9913881774310668,0.9887200513375469,0.9803865749569445,0.97818396234537,0.9770021313779738,0.9748990987707546,0.9729404256531239,0.9727293045192014,0.9723662830075172,0.9702486199286402,0.9692787377261535,0.9688305958177946,0.9684090611908076,0.9675699112109829,0.9673628187243919,0.9987722735986504,0.9974012475628469,0.9970976653561663,0.9968075424480473,0.9928496106591449,0.9903991732999183,0.9891847948523327,0.9795692162515187,0.978465607248437,0.972225210524444,0.9676883588741506,0.9660488455863656,0.9643717146982697,0.9639684010367747,0.9638127195313694
3,9,1.0,0.9990985511084844,0.9947688484842159,0.9923498444452297,0.9899649613939024,0.9822320464790775,0.9801044125103869,0.9791425949525949,0.9772879442900095,0.9755592987416141,0.9753869792109928,0.9750918724812178,0.9732121372826458,0.9723194025482216,0.9719287042180725,0.971563560542565,0.970795093653096,0.9706118366426746,0.9989107724799668,0.9976788599918854,0.997400568941025,0.9971323555774021,0.9936701491039416,0.9914815576904756,0.9903981413581526,0.9814815266851509,0.9804656044102846,0.9745362470247205,0.9702200405193148,0.9686957281570717,0.9671676163810018,0.9667950444618115,0.9666470361910998
4,10,1.0,0.9992395730803786,0.9955736068741525,0.9934954088437679,0.9914476257748618,0.9844291316476,0.9823904721474118,0.9816906140608651,0.9801314352677563,0.978676445723439,0.9785503007264602,0.9783360069603234,0.9767392728956152,0.9759382894928156,0.9756159210732563,0.9753178562195325,0.9746334540948083,0.9744785505414397,0.9990759846462085,0.9980106622941166,0.9977626600610662,0.9975206858736893,0.9946484286422159,0.9927727780640754,0.9918458828351986,0.9837581974056717,0.9828466723818836,0.9772874616203657,0.9732338916501302,0.9718467397207169,0.970496026964218,0.9701600542565869,0.9700211800979771
5,11,1.0,0.9992824882256901,0.9958184426591157,0.9938438453081037,0.9918985294466267,0.985097124310159,0.9830854542672157,0.9824652476654957,0.9809958535160747,0.9796240234300629,0.9795119130089915,0.9793221806029416,0.9778114344218074,0.9770383266624623,0.976736720703849,0.9764590383806026,0.9758001769182345,0.975653888916107,0.9991262849155683,0.9981118212353748,0.997873066454845,0.9976391033695652,0.9949461618970163,0.9931659156102697,0.9922867388335869,0.9844503895985547,0.9835706060270012,0.9781239005526979,0.9741501717424713,0.9728047240048153,0.9715079445912269,0.9711830994922998,0.9710470022158749
6,12,1.0,0.9992845590109926,0.9958302559667828,0.9938606563487906,0.9919202834611787,0.9851293497693007,0.9831189810306895,0.9825026170739477,0.9810375537609819,0.9796697349872543,0.9795583015777194,0.9793697539661206,0.9778631553969137,0.977091392187334,0.976790787713408,0.9765140885513651,0.9758564590175725,0.9757105865917436,0.9991287123345718,0.9981167046576525,0.9978783964495835,0.9976448202321666,0.994960528753708,0.993184888031834,0.9923080148349311,0.9844837825292547,0.9836055302484215,0.9781642519018797,0.9741943746962113,0.9728509388931854,0.9715567613197817,0.9712324530436753,0.9710964897278515
7,13,1.0,0.99928627228907,0.9958400297332396,0.9938745649318856,0.9919382815510065,0.9851560112180107,0.9831467190514785,0.982533534278669,0.9810720540050379,0.979707553921375,0.9795966806280432,0.9794091132387013,0.9779059461154568,0.9771352952910348,0.9768355193767063,0.9765596336148508,0.9759030232917031,0.9757574946852882,0.9991307206953527,0.9981207451426876,0.9978828064340313,0.997649550315761,0.9949724152915929,0.993200585155113,0.9923256179113275,0.9845114098774835,0.9836344244973493,0.9781976362107141,0.9742309455883328,0.9728891743438355,0.971597149378222,0.9712732852378853,0.9711374327530151
8,14,1.0,0.9992855035714246,0.9958356444225737,0.9938683244121617,0.9919302061524894,0.9851440487524277,0.9831342735549231,0.9825196623444332,0.9810565744362726,0.9796905853256801,0.9795794607196381,0.979391453524704,0.9778867467843505,0.9771155968564876,0.9768154491849376,0.9765391984675476,0.9758821308463401,0.9757364479753868,0.9991298195771289,0.9981189322312117,0.9978808277319221,0.9976474279884122,0.9949670820092018,0.9931935421145548,0.9923177196952844,0.9844990140316074,0.983621460218049,0.9781826573331348,0.9742145369546155,0.9728720188553278,0.9715790280572921,0.971254964641988,0.9711190624294757
9,15,1.0,0.9992834209209918,0.9958237634591103,0.9938514171348133,0.9919083276369143,0.9851116389505861,0.9831005550352492,0.9824820791949271,0.981014635700244,0.9796446123513523,0.9795328068629872,0.9793436081002932,0.9778347300485842,0.9770622278893583,0.9767610730101952,0.976483833513276,0.9758255269251495,0.9756794261030222,0.9991273782378511,0.9981140207358039,0.9978754670903998,0.9976416782494374,0.9949526328198927,0.9931744608868142,0.992296321645974,0.9844654300784416,0.9835863362140403,0.9781420751718329,0.9741700811606543,0.9728255396163278,0.9715299320955421,0.9712053287864794,0.9710692918471568
10,16,1.0,0.9991264724255924,0.9949282106540829,0.9925767286363971,0.990258636143981,0.9826673000969017,0.980557317341289,0.9796473928075061,0.9778512966001386,0.9761768806138009,0.9760137101772851,0.9757346164322968,0.9739109672920221,0.973036417072494,0.972659260218516,0.9723074099926026,0.9715556040593406,0.9713779660044323,0.9989434737986735,0.9977444797803164,0.9974721736432237,0.9972091449884029,0.9938638301629755,0.9917371299380671,0.9906846688853164,0.9819325455500979,0.9809373045446471,0.9750812882566041,0.970817115385054,0.9693199742397564,0.9678270071024244,0.9674616856306928,0.9673154869637062
11,17,1.0,0.9987031976517127,0.9925109604109976,0.9891334565075145,0.9858003022693138,0.9760557399758804,0.9736762884015172,0.9719782138984433,0.9692915662533379,0.9667924588386451,0.9664902172882884,0.9659676863591286,0.9632908623204125,0.9621396397545913,0.9615565105996945,0.9610024653967401,0.9599971743845614,0.9597340731925283,0.9984482400806206,0.9967536791973141,0.99639128454231,0.9960502134039511,0.9909283001067116,0.9878670320586962,0.9863471583233833,0.9750815616602891,0.9737721828438375,0.9668013753396066,0.9617465708461451,0.9598367368705956,0.9578098514081622,0.9573343941853524,0.9571607018586233
12,18,1.0,0.9982139630530399,0.9897132373531133,0.9851432081975117,0.9806298252846029,0.9683773697742786,0.9656812772498929,0.9630680920783887,0.9593440680942938,0.9558845188696462,0.9554204860015727,0.9546146610578996,0.9509435216733267,0.9494697135224938,0.9486465888133858,0.9478569621071742,0.9465561375283545,0.9461934665299695,0.9978771833138841,0.9956191115667742,0.995154304441666,0.9947245169898715,0.9875368910423807,0.9834053562405914,0.9813502462707965,0.9671252616461299,0.9654510713394038,0.9571835164839904,0.9512097961372815,0.9488207522010291,0.9461735596039861,0.9455701826194302,0.9453645423183941
13,19,1.0,0.998705330684343,0.9925231493303427,0.9891508290420005,0.9858228039019565,0.976089130312653,0.9737110469369314,0.9720169523027229,0.9693348082814545,0.9668398709886099,0.9665383323222978,0.966017031927342,0.9633445234120938,0.9621947005895741,0.9616126131802865,0.9610595905928856,0.9600555819796438,0.9597929130134732,0.9984507330305039,0.9967586508615955,0.9963967067527498,0.996056025911912,0.9909430901308864,0.9878865118620352,0.9863689835702665,0.9751161608883141,0.973808368507123,0.9668431950537621,0.9617923848110739,0.9598846348651352,0.957860446258791,0.957385545267037,0.9572119918239491
14,20,1.0,0.9985551853908677,0.9916649759712753,0.9879274482017069,0.9842380344413346,0.9737369446770273,0.9712622945617257,0.9692878478156661,0.966288289294196,0.9634994533602245,0.9631483859213216,0.9625403715572812,0.9595636819606504,0.9583151906345527,0.9576596779596216,0.9570345790828165,0.9559401744531928,0.9556470414671496,0.9982753202159345,0.9964092222372546,0.9960156493351847,0.9956475693282927,0.9899020906995003,0.9865158916012284,0.984833516180013,0.972678820989724,0.9712592726108941,0.9638971039860584,0.9585648825663345,0.9565103263870111,0.9542961453809768,0.9537820599376776,0.9535987219098707
15,21,1.0,0.9984153582358091,0.9908654302001749,0.9867871851603142,0.9827605757219073,0.9715430484388163,0.9689779914239164,0.9667420746600461,0.9634461710695246,0.9603829643524139,0.9599856747560088,0.9592967276632359,0.956036003343284,0.9546953652648474,0.9539712949625855,0.9532788991673927,0.9521000749655075,0.9517784984838646,0.9981120848373527,0.9960847742694559,0.9956619021520242,0.9952684412320295,0.988932772534195,0.9852405120862359,0.9834050758920337,0.9704055118109328,0.9688817284304073,0.961149086720539,0.9555543235910946,0.9533628455566291,0.9509714337137072,0.9504207990926956,0.9502283331645235
16,22,1.0,0.9980902490923783,0.9890051110372833,0.9841323672826595,0.9793193102831064,0.9664293107441134,0.9636522367710987,0.9608068994432278,0.9568191158242804,0.9531154035427225,0.9526102700870676,0.9517324634917023,0.9478084243593781,0.9462525424582723,0.9453683844355583,0.9445188491448914,0.9431428361331872,0.9427548453109852,0.9977330095222678,0.9953340274433289,0.994843615833493,0.9943916484895192,0.9866795645840521,0.9822791047436253,0.9800895136217098,0.9651067083450114,0.9633399605626944,0.9547430317367104,0.948536036575347,0.946025417954072,0.9432207961223283,0.9425849603480384,0.9423712108655852
17,23,1.0,0.998193876928479,0.9895982846989447,0.9849791392316484,0.9804171356359803,0.9680612629125158,0.9653520477565013,0.9627011915607492,0.9589343840855544,0.9554352291049338,0.9549645284692545,0.9541470263320287,0.9504348675343249,0.948947748037343,0.9481147237168561,0.947315379770147,0.9460023604904001,0.9456355825639391,0.9978537689900454,0.9955727754541605,0.9951038031407076,0.9946704075832693,0.9873976886722922,0.9832224438634297,0.981145475668212,0.9667977153776576,0.9651085061105042,0.9567875153046296,0.9507759460770334,0.948367174496386,0.9456944378506911,0.9450857940153554,0.9448788379689043
18,0,1.0,0.9983743563829764,0.9906309135302152,0.9864526470464418,0.9823270422566727,0.9708991069309079,0.9683074515876201,0.9659947917980752,0.9626118521022219,0.9594680665977279,0.9590572051088158,0.9583444928346486,0.9550003395386977,0.9536326329195561,0.9528884261498395,0.9521762643905585,0.9509726418069278,0.9506427111916425,0.9980642414495772,0.9959898128841289,0.9955583778648575,0.9951574992311708,0.9886485631582363,0.9848667224496673,0.9829864880344404,0.9697382633159323,0.9681838853332762,0.9603424679904876,0.9546706319272429,0.9524389659577459,0.9499955294477044,0.9494341667215309,0.9492390212735863
19,1,1.0,0.9984342064055485,0.9909732255723321,0.9869409423433281,0.9829598220234383,0.9718389676496935,0.9692861241792243,0.9670854745097721,0.963829559469628,0.9608033750325241,0.9604123215437287,0.9597342940183404,0.9565118996704993,0.9551836973811118,0.9544688785502983,0.9537855640354187,0.9526181327091254,0.9523003944658947,0.998134081424944,0.9961284541242276,0.9957095226437018,0.9953194753520133,0.9890634249119639,0.9854123691096546,0.983597539068587,0.9707121418836311,0.9692024180398982,0.9615197579239956,0.955960411161141,0.9537874013263491,0.9514198963428273,0.9508741916932814,0.9506829570678468
20,2,1.0,0.9984640740065966,0.9911440300871607,0.9871845578545296,0.9832754981936194,0.9723077718543427,0.9697742651723289,0.9676294871565765,0.9644369125053399,0.9614693706804175,0.9610881956399621,0.960427465216691,0.9572657824793537,0.9559572770039867,0.9552571119274114,0.9545881816364078,0.953438795324518,0.9531271366459065,0.9981689425602962,0.9961977058509683,0.9957850244782068,0.9954003914314056,0.9892704672811156,0.9856847388488839,0.9839025787065204,0.9711979149328328,0.9697104646194872,0.9621069797443265,0.956603738105574,0.9544599862838979,0.9521303543338626,0.9515924598204746,0.9514031757944066
21,3,1.0,0.9984939035309096,0.9913146015116638,0.9874278205654969,0.9835907012428257,0.972775829710678,0.9702616140417659,0.9681726193146921,0.9650432712025555,0.962134267425765,0.9617629539137932,0.9611194906153672,0.9580184083562805,0.9567295630531517,0.9560440251072475,0.9553894529573432,0.954258078154411,0.9539524880365794,0.9982037646588577,0.9962669118564771,0.9958604794854304,0.9954812597342407,0.9894772519744894,0.9859568076708481,0.9842072959755235,0.9716829150789837,0.9702177028256701,0.9626932584777188,0.9572460295420325,0.9551314893273348,0.9528396689881657,0.952309572090197,0.9521222354762799
22,4,1.0,0.9984956682481071,0.9913246920520516,0.9874422106882442,0.9836093464729522,0.9728035154068371,0.970290440335911,0.968204745218245,0.9650791365601908,0.9621735949689997,0.961802864730872,0.9611604227096489,0.9580629245270519,0.9567752419614564,0.9560905691099629,0.955436846147181,0.9543065365789046,0.9540013053761089,0.9982058249063724,0.9962710074218635,0.9958649449570686,0.9954860456432405,0.9894894855709033,0.9859729047343178,0.9842253251556851,0.9717116029287928,0.9702477060601161,0.9627279367016972,0.9572840208299678,0.955171208492214,0.9528816246810268,0.9523519890106287,0.9521647675839159
