penetration,strategy,pv_enabled,volt_dev_mean,volt_min_pu,volt_violations,ev_peak_kw,ev_load_factor
0.2,G2V,True,0.0283759142274607,0.9311300273521629,81,680.7999999999988,0.22644927536231896
0.2,V2G,True,0.028446405573421204,0.9439942539741107,55,739.9999999999986,0.22506756756756754
0.5,G2V,True,0.030791779495145284,0.9150493873053884,115,1605.800000000005,0.24807987711213464
0.5,V2G,True,0.03081117230228111,0.9318506579238439,118,1850.000000000008,0.22169369369369374
0.8,G2V,True,0.03317952752937923,0.8979072557048546,145,2545.6000000000163,0.24890988372092962
0.8,V2G,True,0.032320496036234526,0.9140781557965829,116,2960.0000000000214,0.18777308558558575
