penetration,strategy,pv_enabled,volt_dev_mean,volt_min_pu,volt_violations,ev_peak_kw,ev_load_factor
0.2,G2V,True,0.02824327862936863,0.9313185425397194,80,680.7999999999988,0.22644927536231896
0.2,V2G,True,0.028314773290150468,0.9445307861654688,50,739.9999999999986,0.22506756756756754
0.5,G2V,True,0.03065777655260507,0.9150493873053884,113,1605.800000000005,0.24807987711213464
0.5,V2G,True,0.030679766209658097,0.9318506579238439,113,1850.000000000008,0.22169369369369374
0.8,G2V,True,0.03304430884549243,0.8979072557048546,142,2545.6000000000163,0.24890988372092962
0.8,V2G,True,0.03218940272863733,0.9140781557965829,111,2960.0000000000214,0.18777308558558575
